snapshot_date,signups,verified,activated,funded,leadFeedFetches,dealRoomFetches,leadPurchases_total,leadPurchases_dealRoom,refunds,moversWith2Plus,arpm_usd,avgLeadPrice_usd,medianHoursToFirstPurchase,halt_triggered,halt_id,qualitative_note
baseline_PRE_PILOT,,,,,,,,,,,,,,,,
day_1,,,,,,,,,,,,,,,,
day_2,,,,,,,,,,,,,,,,
day_3,,,,,,,,,,,,,,,,
day_4,,,,,,,,,,,,,,,,
day_5,,,,,,,,,,,,,,,,
